strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles,min_quality_score,min_body_to_range,min_close_location,min_range_expansion,min_atr_expansion,min_ema20_slope_pct,min_ema_alignment_strength,min_breakout_distance_pct
donchian_breakout,15m,1,990,0.43333333333333335,0.8577145254059394,-0.05263473349746751,59.250145015342426,27.10245481943493,-52.108386162492835,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,2,1066,0.42964352720450283,0.8376879337038081,-0.06011850942486594,69.93567059575739,21.202149813018103,-64.08633104690709,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,3,941,0.4218916046758767,0.8324577437816099,-0.06285101971127205,65.16504840115655,16.143647910857336,-59.142809548307,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,4,1008,0.42063492063492064,0.8298278123934905,-0.06351928963585032,69.72496512765562,16.619203728554297,-64.02744395293712,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.25,1.0,0.0,0.0,0.0
donchian_breakout,15m,5,910,0.42527472527472526,0.8245084915898122,-0.06596833382187753,67.49042549564378,12.773925792408402,-60.03118377790855,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,6,1068,0.43164794007490637,0.8223469289686061,-0.06630997324908468,75.71046089098323,14.626799289693425,-70.81905143002244,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.0,0.9,0.0,0.0,0.0005
donchian_breakout,15m,7,943,0.4241781548250265,0.8200228351750158,-0.06837513296862566,67.52853902482344,10.966636265092026,-64.477750389414,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.0,1.0,0.0,0.0,0.0005
donchian_breakout,15m,8,852,0.4166666666666667,0.8156890612109092,-0.06993577083174217,65.10407284893265,8.578154513160923,-59.58527674864433,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.25,1.0,0.0,0.0,0.0005
donchian_breakout,15m,9,980,0.4193877551020408,0.8137351090238548,-0.0701723571597707,73.66988687712026,9.63494396100911,-68.76891001657529,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.25,0.9,0.0,0.0,0.0
donchian_breakout,15m,10,1011,0.41740850642927796,0.8099578018770607,-0.07202605669194392,75.56889357496836,8.064882637499679,-72.81834331555531,3,,,0.4,,0.012,0.008,24,5,0.6,0.85,1.0,1.0,0.0,0.0,0.0
