strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
mean_reversion,1m,1,2354,0.4001699235344095,0.5136033076598778,-0.07177858042801198,169.2097674171421,19.360966058883356,-168.9667783275402,,25,-0.002,1.0,,0.003,0.002,20
mean_reversion,1m,2,2490,0.4,0.5133237642634004,-0.07197829076437792,179.4689330929034,19.982048816225454,-179.22594400330104,,25,-0.002,0.8,,0.003,0.002,20
mean_reversion,1m,3,3751,0.3980271927486004,0.5109147382382523,-0.07355450214587729,277.33504483437207,24.186737145672552,-275.9029375491857,,35,-0.002,1.0,,0.003,0.002,20
mean_reversion,1m,4,3993,0.3959429000751315,0.5084501509736209,-0.07429020365367449,297.79297047430913,22.808340146936526,-296.64078318912226,,35,-0.002,0.8,,0.003,0.002,20
mean_reversion,1m,5,3116,0.3940949935815148,0.5035910012314159,-0.07448872627716639,232.87933836483538,17.180000920717816,-232.1068710796505,,30,-0.002,1.0,,0.003,0.002,20
mean_reversion,1m,6,3301,0.3920024235080279,0.4998045993575669,-0.07544359514062096,249.53185484437506,15.046711125260348,-249.03930755918978,,30,-0.002,0.8,,0.003,0.002,20
mean_reversion,1m,7,3764,0.39585547290116896,0.4980278125540707,-0.07327584293126943,277.4453304939001,25.319855148761384,-275.8102727932981,,35,-0.002,1.0,,0.003,0.002,15
mean_reversion,1m,8,4007,0.3933117045170951,0.49594934423190457,-0.07405987861105123,298.1130712950848,23.81159104193454,-296.75793359448227,,35,-0.002,0.8,,0.003,0.002,15
mean_reversion,1m,9,3122,0.39525944907110827,0.49587721488550013,-0.07307302449321543,229.10940016841928,21.634671400741762,-228.13398246781856,,30,-0.002,1.0,,0.003,0.002,15
mean_reversion,1m,10,2354,0.39507221750212407,0.493889720007146,-0.07251638598627536,171.1320887076785,17.623476779019448,-170.70357261169218,,25,-0.002,1.0,,0.003,0.002,15
mean_reversion,1m,11,2490,0.39518072289156625,0.4938203560563875,-0.0728368991193803,181.79239490324352,17.843258496141534,-181.36387880725692,,25,-0.002,0.8,,0.003,0.002,15
mean_reversion,1m,12,3309,0.3919613176186159,0.49125765098538016,-0.07432086645733006,246.62324480790636,18.79977280181556,-245.92774710730518,,30,-0.002,0.8,,0.003,0.002,15
mean_reversion,1m,13,2371,0.43399409531843103,0.48254529230496257,-0.07254573290456713,172.51185490052967,17.681139739167023,-172.00593271672867,,25,-0.002,1.0,,0.0025,0.002,20
mean_reversion,1m,14,2514,0.4343675417661098,0.4823094255287335,-0.07281725066491178,183.5684903553897,18.064657691488396,-183.0625681715882,,25,-0.002,0.8,,0.0025,0.002,20
mean_reversion,1m,15,3822,0.434589220303506,0.4807471214620214,-0.0741548509044808,284.3368219148503,22.34909948286749,-283.41984015692566,,35,-0.002,1.0,,0.0025,0.002,20
mean_reversion,1m,16,4076,0.432531894013739,0.4764927981104206,-0.07517368395991755,307.0449975785502,19.679936153837595,-306.40793582062395,,35,-0.002,0.8,,0.0025,0.002,20
mean_reversion,1m,17,3161,0.42929452704840243,0.47374593834732903,-0.07506570632473876,237.68997945042082,15.603543724990827,-237.2826976924992,,30,-0.002,1.0,,0.0025,0.002,20
mean_reversion,1m,18,3832,0.4298016701461378,0.4715079599223943,-0.07362329301528449,283.20973653517535,24.445319293147115,-282.12445883457013,,35,-0.002,1.0,,0.0025,0.002,15
mean_reversion,1m,19,3353,0.42678198628094244,0.46803188769526094,-0.07644124743989879,256.47740266598544,11.93727224291658,-256.3075026659806,,30,-0.002,0.8,,0.0025,0.002,20
mean_reversion,1m,20,2906,0.37611837577426016,0.46714464773245246,-0.07698325399240656,224.09706870342498,8.770171966853287,-223.71333610193346,,25,-0.0015,1.0,,0.003,0.002,20
mean_reversion,1m,21,3165,0.42717219589257505,0.46659667451936604,-0.07413093385479538,235.1999833510299,18.583027560596857,-234.6244056504274,,30,-0.002,1.0,,0.0025,0.002,15
mean_reversion,1m,22,4851,0.3762110904968048,0.46619228809481833,-0.07883530686068177,383.94264637427557,5.6521872937502575,-382.4300735811673,,35,-0.0015,1.0,,0.003,0.002,20
mean_reversion,1m,23,4087,0.42647418644482504,0.46612754449184346,-0.0749906139182025,307.2919967843004,20.481553537721474,-306.4866390836936,,35,-0.002,0.8,,0.0025,0.002,15
mean_reversion,1m,24,2371,0.4264023618726276,0.4660351814354665,-0.0731884673889013,174.15557780652455,16.15660646350044,-173.52985617908496,,25,-0.002,1.0,,0.0025,0.002,15
mean_reversion,1m,25,5179,0.3763274763467851,0.4658430471849367,-0.07911898882408001,410.33224864718164,4.5645827131748655,-409.7572431199104,,35,-0.0015,0.8,,0.003,0.002,20
