strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,5m,1,1057,0.4474929044465468,0.7754613871438056,-0.05827413178005102,68.35399980556257,22.97343208131859,-61.59575729151393,10,,,0.8,,0.006,0.005,36
donchian_breakout,5m,2,1007,0.4438927507447865,0.7737315653394684,-0.058711638120549,64.51619458493846,21.4459587961256,-59.12261958739284,10,,,1.0,,0.006,0.005,36
donchian_breakout,5m,3,1115,0.45112107623318387,0.7693423932919928,-0.05466389212754217,66.12224891953666,28.261064703671945,-60.95023972220952,10,,,0.8,,0.006,0.005,24
donchian_breakout,5m,4,1013,0.36229022704837116,0.7625459243618434,-0.058678515504917324,62.21268219142429,21.607306716205244,-59.441336206481246,10,,,1.0,,0.01,0.004,24
donchian_breakout,5m,5,1059,0.4475920679886686,0.7601532819890053,-0.05740040360040837,64.56652131688746,23.94254960701033,-60.787027412832465,10,,,1.0,,0.006,0.005,24
donchian_breakout,5m,6,940,0.4372340425531915,0.7598144790355275,-0.06313306880340672,66.24877950409856,15.861259828729176,-59.34508467520231,10,,,1.2,,0.006,0.005,36
donchian_breakout,5m,7,960,0.34270833333333334,0.7586001448447113,-0.06574602931994289,65.77877495093273,13.689287567881989,-63.116188147145174,10,,,1.0,,0.01,0.004,36
donchian_breakout,5m,8,865,0.43583815028901735,0.7568563767715691,-0.06366595128552756,58.05233932796062,14.134605980410818,-55.07104786198134,20,,,1.0,,0.006,0.005,36
donchian_breakout,5m,9,1099,0.4094631483166515,0.7540372339525109,-0.06048342627407436,71.3513041804495,21.45729744376979,-66.47128547520772,10,,,0.8,,0.006,0.004,36
donchian_breakout,5m,10,894,0.43512304250559286,0.752804515379364,-0.06515746024694834,59.85884348669433,13.274540355370325,-58.250769460771814,20,,,0.8,,0.006,0.005,36
donchian_breakout,5m,11,983,0.3886063072227874,0.751783194141532,-0.0648082449866882,65.8996744868894,14.939470966472085,-63.70650482191451,10,,,1.0,,0.01,0.005,24
donchian_breakout,5m,12,1046,0.4063097514340344,0.7491170773217111,-0.061832297246088096,67.91150249388916,19.011021489187517,-64.67658291940815,10,,,1.0,,0.006,0.004,36
donchian_breakout,5m,13,921,0.3745928338762215,0.7484001791059887,-0.07349462776652642,70.52324489158478,5.993845365175237,-67.68855217297083,10,,,1.0,,0.01,0.005,36
donchian_breakout,5m,14,1068,0.36142322097378277,0.7481245454831329,-0.06216209069674504,69.86780620906559,19.058510540092346,-66.3891128641237,10,,,0.8,,0.01,0.004,24
donchian_breakout,5m,15,952,0.36134453781512604,0.746334446555936,-0.06366360627879011,64.32842044524457,15.55847021067609,-60.60775317740819,10,,,1.2,,0.01,0.004,24
donchian_breakout,5m,16,984,0.44715447154471544,0.7447954067272056,-0.062196136849021116,66.06528258270744,17.52601174526132,-61.20099865943678,10,,,1.2,,0.006,0.005,24
donchian_breakout,5m,17,977,0.4022517911975435,0.7431472198950507,-0.06387650816032311,68.5789986438766,15.758955109408072,-62.40734847263569,10,,,1.2,,0.006,0.004,36
donchian_breakout,5m,18,904,0.33738938053097345,0.7429702533741377,-0.07104129129286932,67.3737510354803,8.1019134366208,-64.22132732875386,10,,,1.2,,0.01,0.004,36
donchian_breakout,5m,19,831,0.43200962695547535,0.7426965493820379,-0.0683176315375931,60.461104441201776,9.711932965446314,-56.77195180773986,20,,,1.2,,0.006,0.005,36
donchian_breakout,5m,20,1033,0.39012584704743464,0.7423268327000968,-0.06699402083459743,72.0427550791306,13.440552698940428,-69.20482352213915,10,,,0.8,,0.01,0.005,24
donchian_breakout,5m,21,1009,0.4043607532210109,0.7405670735969505,-0.06608029114078866,69.2516991768148,14.050606481536862,-66.67501376105575,10,,,1.0,,0.008,0.005,24
donchian_breakout,5m,22,1009,0.34291377601585726,0.7401562523026389,-0.07113796852506651,74.4407970455797,8.945367905370041,-71.77821024179211,10,,,0.8,,0.01,0.004,36
donchian_breakout,5m,23,966,0.37681159420289856,0.7369098575997434,-0.0770607820007682,77.27540813135606,2.840420755560143,-74.44071541274208,10,,,0.8,,0.01,0.005,36
donchian_breakout,5m,24,1150,0.41391304347826086,0.7356846310010553,-0.06074026323934095,73.65077438276786,22.15756029887746,-69.85130272524209,10,,,0.8,,0.006,0.004,24
donchian_breakout,5m,25,1088,0.41268382352941174,0.7354547926836008,-0.06102116678220391,68.96521231270654,20.657233434335872,-66.39102945903785,10,,,1.0,,0.006,0.004,24
donchian_breakout,5m,26,1186,0.4156829679595278,0.7354410387021726,-0.05255738045477466,66.21891604907529,32.559970768944815,-62.33305321936275,10,,,1.0,,0.006,0.005,12
donchian_breakout,5m,27,955,0.38952879581151834,0.7342169603884181,-0.0757826315211637,74.4277552356694,4.029198576719356,-72.37241310271133,10,,,1.0,,0.008,0.005,36
donchian_breakout,5m,28,1060,0.4047169811320755,0.7331818072256754,-0.06783445624425487,76.63475415961742,12.90063663574414,-71.90452361891016,10,,,0.8,,0.008,0.005,24
donchian_breakout,5m,29,1038,0.37475915221579964,0.7328975374781788,-0.06486989357891082,69.62622933489975,15.711334999090216,-67.33494953490943,10,,,1.0,,0.008,0.004,24
donchian_breakout,5m,30,925,0.38594594594594595,0.7300423128265257,-0.07215236580226961,69.6089865117526,7.261966419468409,-66.74093836709939,10,,,1.2,,0.01,0.005,24
donchian_breakout,5m,31,1010,0.41386138613861384,0.7281760450646219,-0.06332158991803263,69.83919240143246,16.851934956769743,-63.954805817212964,10,,,1.2,,0.006,0.004,24
donchian_breakout,5m,32,992,0.3538306451612903,0.7272287096379393,-0.07315817128536307,74.8037013130305,6.789810008923411,-72.57290591508017,10,,,1.0,,0.008,0.004,36
donchian_breakout,5m,33,947,0.4044350580781415,0.7269698566714374,-0.07070944682095005,69.89689595620507,8.801674530372445,-66.9618461394397,10,,,1.2,,0.008,0.005,24
donchian_breakout,5m,34,867,0.3644752018454441,0.7268603590912417,-0.08143965613301393,74.02267458593708,-1.248681339859024,-70.60818186732308,10,,,1.2,,0.01,0.005,36
donchian_breakout,5m,35,896,0.38392857142857145,0.7267326787859376,-0.07895116191121931,73.36648469655651,0.9401349815401169,-70.7402410724525,10,,,1.2,,0.008,0.005,36
donchian_breakout,5m,36,999,0.3923923923923924,0.7256741501318623,-0.07819814278038983,81.65713166816278,1.8007756726596182,-78.11994463760945,10,,,0.8,,0.008,0.005,36
donchian_breakout,5m,37,1139,0.3801580333625988,0.7249423476968256,-0.05728720754399611,66.63839435320962,25.880222696467026,-65.25012939261157,10,,,1.0,,0.01,0.005,12
donchian_breakout,5m,38,924,0.3971861471861472,0.7231692319297578,-0.06941971351969509,66.49095617058212,9.780096746500346,-64.14381529219825,20,,,0.8,,0.006,0.004,36
donchian_breakout,5m,39,1096,0.3731751824817518,0.7229591896438566,-0.06739004043027415,77.9233828780184,13.826046106862297,-73.85948431158046,10,,,0.8,,0.008,0.004,24
donchian_breakout,5m,40,867,0.35409457900807384,0.722018119555731,-0.0699945647943085,65.1091395802116,8.67818359677325,-60.68528767666547,20,,,1.0,,0.01,0.004,24
donchian_breakout,5m,41,830,0.37710843373493974,0.7210623691526475,-0.08019323994955627,72.1722698854153,-0.16045333946748572,-66.5603891581317,20,,,1.0,,0.008,0.005,36
donchian_breakout,5m,42,933,0.43729903536977494,0.7204763019612443,-0.06832831366466537,64.69685979422721,10.894040967254107,-63.75031664913279,20,,,0.8,,0.006,0.005,24
donchian_breakout,5m,43,797,0.36260978670012545,0.7203433977952535,-0.08230867764474267,69.8084279848231,-1.8407523838134308,-65.60001608285991,20,,,1.0,,0.01,0.005,36
donchian_breakout,5m,44,795,0.4238993710691824,0.719601480707083,-0.0751730879027125,62.7809348376656,3.8389306896194015,-59.76260488265644,30,,,1.0,,0.006,0.005,36
donchian_breakout,5m,45,1160,0.3879310344827586,0.7192126328568175,-0.05834416525619403,69.62539713120312,25.13082063106736,-67.67923169718507,10,,,1.0,,0.008,0.005,12
donchian_breakout,5m,46,859,0.3946449359720605,0.719142513488156,-0.0707134414620789,64.46211712952332,7.980345922443196,-60.74284621592578,20,,,1.2,,0.006,0.004,36
donchian_breakout,5m,47,1257,0.41766109785202865,0.718638916291283,-0.05641517390564981,74.74552026094265,29.65798959643676,-70.91387359940181,10,,,0.8,,0.006,0.005,12
donchian_breakout,5m,48,814,0.4238329238329238,0.7183580920188382,-0.07602320803916773,64.70637581021784,3.2384040177245494,-61.882891343882534,30,,,0.8,,0.006,0.005,36
donchian_breakout,5m,49,904,0.43694690265486724,0.7180295746425256,-0.06894433749259388,63.2722242383993,9.998318233988726,-62.325681093304865,20,,,1.0,,0.006,0.005,24
donchian_breakout,5m,50,890,0.35280898876404493,0.7171527861978082,-0.07091525837857332,68.02782368715569,8.088655505271866,-63.11457995693025,20,,,0.8,,0.01,0.004,24
donchian_breakout,5m,51,800,0.37625,0.7166860119453983,-0.08217397017818204,70.71767379002294,-1.7398720913821808,-65.73917614254563,20,,,1.2,,0.008,0.005,36
donchian_breakout,5m,52,973,0.37410071942446044,0.7162606849551916,-0.06990965994554564,71.30749433733868,9.82182960482603,-68.0220991270159,10,,,1.2,,0.008,0.004,24
donchian_breakout,5m,53,930,0.35053763440860214,0.715945008590566,-0.07713284236398626,74.44417879645752,2.6675236109371596,-71.73354339850722,10,,,1.2,,0.008,0.004,36
donchian_breakout,5m,54,820,0.3646341463414634,0.7146058790127504,-0.08389801707806112,73.45902169416954,-3.197653065236209,-68.79637400401012,20,,,0.8,,0.01,0.005,36
donchian_breakout,5m,55,897,0.39464882943143814,0.714532856756165,-0.07182695707842901,66.49493409948333,7.334153161913944,-64.42878049935082,20,,,1.0,,0.006,0.004,36
donchian_breakout,5m,56,1153,0.3642671292281006,0.7145219107857548,-0.05849431604358974,69.20495169416726,24.805975992137896,-67.44394639825897,10,,,1.0,,0.01,0.004,12
