strategy,timeframe,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles,min_quality_score,min_body_to_range,min_close_location,min_range_expansion,min_atr_expansion,min_ema20_slope_pct,min_ema_alignment_strength,min_breakout_distance_pct
donchian_breakout,15m,1,559,0.4364937388193202,0.871868236257362,-0.04832520016209745,38.32698326831041,17.713298428759025,-27.013786890612476,3,,,0.4,,0.012,0.008,24,0,0.6,0.7,1.25,0.9,0.0,0.0,0.0005
donchian_breakout,15m,2,497,0.43661971830985913,0.8692092392166887,-0.04939832525117792,33.485022879779045,15.215118397523582,-24.550967649835425,3,,,0.4,,0.012,0.008,24,5,0.6,0.7,1.25,0.9,0.0,0.0,0.0005
