timestamp,entry_price,trade_opened,trade_result,gross_pnl,net_pnl,exit_reason,holding_candles,quality_score,body_to_range,close_location_value,range_expansion_ratio,atr_expansion_ratio,ema20_slope_pct,ema_alignment_strength,breakout_distance_pct,volume_ratio,rsi14,atr14
2025-01-01 12:15:00+00:00,93854.7,True,winner,0.003505418481972722,0.003505418481972722,max_holding,24,6.0,0.7934366453965307,0.7936189608021931,2.645923781958477,2.054472001498241,0.00041550455756000915,-0.0014914618406159184,0.0017333334756430804,2.07903213757186,64.06779661016924,266.97857142857225
2025-01-01 14:00:00+00:00,94220.2,False,not_opened,,,,,5.0,0.517249310027582,0.5174793008279635,2.097443318861538,1.7979678638941565,0.0006122642182007088,0.00037828869178736975,0.0019652173543155335,2.819000224619176,73.27647476901201,241.8285714285708
2025-01-01 15:45:00+00:00,94409.9,False,not_opened,,,,,6.0,0.6564417177913763,0.7127390833633918,1.0303030303030631,0.9327723010339221,0.0005665099688214603,0.0024732148872436376,0.0017433174599131244,1.2754409717043558,63.056156523375165,297.07142857142856
2025-01-01 21:15:00+00:00,94940.9,True,winner,0.0012312923092157035,0.0012312923092157035,max_holding,24,4.0,0.45888348390083994,0.4896919156821765,2.0513186029935997,1.855178341211855,0.0005555888745325532,0.006711290583967987,0.00046260682634850607,2.4953947502403646,80.98271155595978,232.69999999999916
2025-01-02 00:15:00+00:00,94913.9,False,not_opened,,,,,5.0,0.4655827201518937,0.6604557322572943,3.6531541296336463,2.9773100123671954,0.0002893540207533629,0.007797480564642573,0.0018355499261135126,2.966872945343974,53.438731469318675,283.00714285714326
2025-01-02 02:45:00+00:00,95222.7,False,not_opened,,,,,5.0,0.9995327102803466,0.9995327102803466,0.7130956347884073,0.6168416718138787,0.00034438793712743276,0.00933456468003745,0.0009218479003521005,0.7953841170465977,65.61609040485195,346.92857142857036
2025-01-02 14:30:00+00:00,96797.5,True,loser,-0.008000000000000007,-0.008000000000000007,stop_loss,6,5.0,0.28951939779965397,0.4685251054677781,4.8814859681002325,3.6609560891196016,0.0003017011008501491,0.01760777623930523,0.001527161435242104,5.2909667029773795,51.74739064149191,330.2142857142857
2025-01-02 16:15:00+00:00,97363.1,True,loser,-0.008000000000000007,-0.008000000000000007,stop_loss,5,7.0,0.9704983388704358,0.979534883720938,2.3236066079974877,1.45196190581198,0.0007672661419217963,0.01755045262323879,0.0067188277103563095,1.9304730822067826,58.01756285336235,518.2642857142865
2025-01-02 16:30:00+00:00,97410.7,False,not_opened,,,,,2.0,0.1282397408207313,0.5272678185745094,1.0500354358611161,0.7051112954326191,0.0007405611815218816,0.01802540253271527,0.00033066847404711607,1.5371495081666604,60.15824710894687,525.3071428571441
2025-01-02 18:45:00+00:00,97288.4,True,loser,-0.005021153601045936,-0.005021153601045936,max_holding,24,5.0,0.6635431918008529,0.8532942898974939,0.6494864967668369,0.637092905495442,0.00042405198628725493,0.01796212812855017,0.0019402677651904653,0.4341819905075221,59.339035548861816,536.028571428572
2025-01-03 09:30:00+00:00,96590.1,True,winner,0.008241010207050259,0.008241010207050259,max_holding,24,5.0,0.5665183987060752,0.7399919126567271,1.2060473055352041,1.2255141410923032,9.633804164987936e-05,0.0062967552780132455,0.000657849753332242,1.1378168319604889,42.37486203986249,201.79285714285547
2025-01-03 11:15:00+00:00,96703.5,False,not_opened,,,,,7.0,0.7331859804231109,0.7331859804231109,1.6904190018681589,1.669981167608271,0.00021787957496455235,0.005888872988061528,0.0009688448078303138,1.2138461521448973,63.33312589457943,189.64285714285714
2025-01-03 14:00:00+00:00,96735.9,False,not_opened,,,,,6.0,0.6814536340851984,0.6814536340851984,2.2839152833429117,2.012610340479182,0.00016028222485653387,0.0059992643627275076,0.0005988953019300583,1.5435334373302074,61.032828661370274,198.25000000000105
2025-01-03 14:15:00+00:00,97037.5,False,not_opened,,,,,7.0,0.6545138888888974,0.8567708333333343,2.6376645678306274,2.0559627764675903,0.00044237626233645244,0.006315435770796993,0.0018015134777985401,2.550620625799237,68.17068691073891,224.12857142857268
2025-01-03 14:30:00+00:00,97204.9,False,not_opened,,,,,6.0,0.2208151958844386,0.8468539770478763,4.339439038351565,2.7743099121706467,0.0005650542047879181,0.006744861952014558,0.0010442466028515365,4.448742783925092,70.68177973270221,273.2571428571443
2025-01-03 16:15:00+00:00,98023.9,True,winner,0.004061254449170049,0.004061254449170049,max_holding,24,5.0,0.5055987202925063,0.5439899451553849,2.7517685898443296,1.9320088300220686,0.0010301263893146562,0.009708614262024812,0.003443634037108066,3.6367113849209742,80.23440518610795,453.0
2025-01-03 18:00:00+00:00,98272.9,False,not_opened,,,,,4.0,0.865134563048061,0.961294224372534,0.848819301848045,0.7692486624796426,0.0007556964555093248,0.013427857161872392,0.00013332003525339222,0.46254439047140955,71.83691829557542,429.89999999999833
2025-01-03 18:15:00+00:00,98432.8,False,not_opened,,,,,5.0,0.6981214504150589,0.9598077763215495,0.5875256673511167,0.5625658310511794,0.0008392827805479008,0.014017681648235445,0.0014966571942816283,0.5196909680573478,80.84190990383007,406.8857142857118
2025-01-04 02:30:00+00:00,98106.5,True,loser,-0.00011314235040493781,-0.00011314235040493781,max_holding,24,7.0,0.7614473262888626,0.8770413064361332,1.8762391108440601,1.8519993222636024,6.122943473263476e-05,0.012528991997704679,0.0005466436994724871,1.2394375816709817,44.27446365529094,168.6285714285685
2025-01-04 02:45:00+00:00,98267.4,False,not_opened,,,,,6.0,0.9686935580974626,0.9686935580974626,0.9904591532499029,0.9979829191880688,0.00021168117854464263,0.012573159783380633,0.001248154514396571,1.2932705310390282,59.69326843603614,166.43571428571158
2025-01-04 17:30:00+00:00,97843.3,True,winner,0.0033860264320602074,0.0033860264320602074,max_holding,24,6.0,0.6288056206089397,0.7599531615925099,1.1390463487829692,0.9420849420849537,7.08256498533899e-05,0.0048504817384843885,0.000528675264542119,0.5049513843786158,50.78719264107567,181.30000000000084
2025-01-04 17:45:00+00:00,97982.5,False,not_opened,,,,,7.0,0.6959999999999854,0.8225,1.2511729746637588,1.1011916466747895,0.0001996605906868787,0.004973822379602052,0.0010032252363248967,0.933831724622095,51.61739130434771,181.6214285714294
2025-01-04 18:00:00+00:00,98028.9,False,not_opened,,,,,3.0,0.3589147286820803,0.8364341085270867,0.8070065686581244,0.719464584495256,0.00022579514028819858,0.005123727117297146,0.0001112040645595113,0.7311885495094644,50.70435013732588,179.30000000000084
2025-01-04 20:30:00+00:00,98500.1,False,not_opened,,,,,4.0,0.2791151594014461,0.4733246584255132,1.8698296836982449,1.683790445635541,0.0004712476488684114,0.006742506778524982,0.00022238424341639807,2.4314279492054562,87.95229026761578,182.56428571428737
2025-01-05 06:45:00+00:00,98413.0,True,loser,-0.008000000000000007,-0.008000000000000007,stop_loss,12,5.0,0.43069306930690726,0.64356435643567,1.5495890410957032,1.0812168878692956,0.0001354853294213143,0.006079295425895998,0.0005042525980192412,1.2234579234454863,64.25096793408167,130.7785714285731
2025-01-05 13:15:00+00:00,97925.0,True,winner,0.0009721725810569737,0.0009721725810569737,max_holding,24,4.0,0.8686473807663087,0.9765441751368246,0.993783993783971,0.8547832728661106,0.00013711536892757614,0.000818752261731186,5.1062091503267975e-05,0.9725075257037379,68.3425547269667,149.6285714285706
2025-01-05 14:45:00+00:00,97811.1,False,not_opened,,,,,5.0,0.5978189028420818,0.5981493721084111,1.7552204176333452,1.4778483220539707,8.058615834349858e-05,0.00022498469283237623,0.0006834158104360347,1.8472823930665134,54.71255673222413,204.7571428571412
2025-01-05 15:30:00+00:00,98031.2,False,not_opened,,,,,4.0,0.43617021276594137,0.43617021276594137,1.969844109379022,1.6221514040045537,0.00027235857708030053,0.0005997435889412985,0.000449038241729532,2.5886460136546345,61.562822719449024,237.58571428571304
2025-01-05 22:15:00+00:00,98525.2,True,winner,0.007050987970590228,0.007050987970590228,max_holding,24,5.0,0.9124934106483602,0.9430680021085763,1.0806038165764842,0.9885356956748241,0.00035391586377864215,0.003936584785290687,0.0002558375634517471,0.5207941949103646,70.07375537799676,191.89999999999833
2025-01-05 22:30:00+00:00,98611.0,False,not_opened,,,,,5.0,0.3518062397372749,0.44827586206896963,1.3876388493306597,1.251614797416298,0.00040331250475178493,0.0042536760318167294,0.0007611431355037752,1.3560957597234158,69.47718154463429,194.6285714285685
2025-01-06 01:45:00+00:00,98735.7,False,not_opened,,,,,7.0,0.7685142769888645,0.9018170713085915,2.740167364016712,2.256108664091119,0.0004459865114805339,0.004418310822532376,0.00419126232155852,2.5643903997492843,56.04919822978334,290.27857142857204
2025-01-06 02:00:00+00:00,99000.0,False,not_opened,,,,,5.0,0.43549184379635103,0.54193442082715,2.4985590778097593,1.9191814239248048,0.0006593488409758486,0.004949071241265476,0.0020242914979757085,4.889074727062592,60.13865721434532,316.22857142857225
2025-01-06 03:30:00+00:00,99084.5,False,not_opened,,,,,2.0,0.08302872062660145,0.29138381201045904,0.7339977002682979,0.5609021297962272,0.00048571506548378274,0.00682623627627618,9.588695432752965e-05,0.7806729532928346,65.17236680746701,341.41428571428486
2025-01-06 04:00:00+00:00,99244.6,False,not_opened,,,,,4.0,0.9041509433962484,0.9041509433962484,1.0196229318968777,0.8369050304534204,0.0005591136027358612,0.007497433921093496,0.0002459176659592375,0.8849955771352938,67.42704480065741,316.6428571428561
2025-01-06 08:00:00+00:00,99524.8,True,loser,-0.007999999999999896,-0.007999999999999896,stop_loss,10,7.0,0.7420430433464905,0.7720521370112203,1.3564967105263082,1.2519924098671606,0.00026053101759471176,0.010936228941506655,0.0013230268036175477,0.9881126880118805,60.1739997783442,263.4999999999979
2025-01-06 11:15:00+00:00,99200.5,True,winner,0.01200000000000001,0.01200000000000001,take_profit,14,7.0,0.6108726752503576,0.7951359084406128,1.46756246063409,1.3818910980569465,0.00014935986846387195,0.007771336761236782,0.001960479322548904,1.7023833287084738,48.07850340793733,252.91428571428384
2025-01-06 13:45:00+00:00,99452.5,False,not_opened,,,,,6.0,0.588406564319749,0.7853361566966511,1.4680396347386608,1.3270441829540671,0.00025996855206256164,0.00827324023174663,0.0009883819824607197,1.0981780805565116,61.598523566155386,284.692857142858
2025-01-06 14:45:00+00:00,100702.1,False,not_opened,,,,,6.0,0.6888699602498614,0.6888699602498614,5.950329447541873,3.802575769260413,0.0014225324700927189,0.00921689974504619,0.010557952834922286,7.450470183974103,71.36718082987078,463.10714285714494
2025-01-06 15:15:00+00:00,101640.3,True,winner,0.0036402883501918115,0.0036402883501918115,max_holding,24,7.0,0.6055578598092054,0.9589381999170511,2.1016998401860096,1.329874973733979,0.0020128679199751254,0.01224583444599059,0.0038548148148148434,2.2800037995115017,77.36706456863801,543.885714285716
2025-01-06 15:30:00+00:00,101930.0,False,not_opened,,,,,5.0,0.8691869186918528,1.0,0.9684730495423756,0.607863060809758,0.0020941402896155203,0.013924527854391803,0.0025572932035015246,2.0214026679725023,77.71420938981757,548.3142857142874
2025-01-06 15:45:00+00:00,102104.5,False,not_opened,,,,,5.0,0.271468574984448,0.47199751088985636,1.7676337137356959,1.12440807146871,0.0020570194847604473,0.015565575704482085,0.001711959187677818,1.9986825610962498,78.13332750862777,571.6785714285725
2025-01-10 07:30:00+00:00,94772.2,True,loser,-0.008000000000000007,-0.008000000000000007,stop_loss,24,6.0,0.6726105563480742,0.7748930099857305,2.7587563951201264,2.3873698550160705,0.0010288039534003257,-0.004771689600644867,0.004748511253197683,3.0569851266315595,78.36767840828395,293.62857142856956
2025-01-10 09:00:00+00:00,94777.6,False,not_opened,,,,,3.0,0.5647607934656101,0.9708284714119026,0.9955469506292578,0.8043351955307497,0.0006428690023465577,-0.0013004502948487495,0.0005827555045059209,0.6750673231801358,66.46904729077654,319.64285714285506
2025-01-10 09:15:00+00:00,94897.0,False,not_opened,,,,,3.0,0.5946215139441855,0.8605577689243048,0.7938327732753715,0.635012423763282,0.000701982109255761,-0.0006618495313232362,0.0011805652998202688,1.0654653950289694,72.50960959570257,316.2142857142847
2025-01-10 10:45:00+00:00,95160.0,False,not_opened,,,,,7.0,0.629952456418398,0.7889593238246275,1.5229283990345674,1.2752688689459162,0.0006774896371644079,0.001979951231845735,0.0021335883248699504,2.0076055577532066,66.64084588868681,296.87857142856956
2025-01-10 17:15:00+00:00,94326.0,True,winner,0.01200000000000001,0.01200000000000001,take_profit,2,5.0,0.9421298938477214,0.9998858577787857,1.145378480847175,1.0003751794336522,0.0004511974079675074,-0.004054678131306639,0.0035214639076546627,0.6089265159098987,55.84387265590926,875.7714285714256
2025-01-10 17:30:00+00:00,94380.7,False,not_opened,,,,,3.0,0.12431818181817521,0.8424999999999934,0.5752385932801662,0.5255748474894428,0.0004635076712979913,-0.0035989353483122668,0.0005788429713514209,0.46077183807333627,52.12464142735548,837.1785714285694
2025-01-10 17:45:00+00:00,95759.2,False,not_opened,,,,,6.0,0.8293225845265325,0.9258212008181909,2.066513333747747,1.8196091923464877,0.0018163149725787253,-0.0019157213356569337,0.013861302276336656,1.8155157588050956,59.33027166709061,913.4928571428557
2025-01-11 11:30:00+00:00,94706.5,True,loser,-0.008000000000000007,-0.008000000000000007,stop_loss,23,6.0,0.7206582936336006,0.7773928107406,1.6551971326163595,1.5935913236381274,0.0003920473583665096,-0.00021551137334330128,0.0008221607186826292,1.6404902730162694,66.57526475037841,144.89285714285612
2025-01-11 14:30:00+00:00,94510.0,False,not_opened,,,,,6.0,0.6716904276985506,0.6720977596741344,1.8044836457184472,1.6622333994293201,0.000113652830068256,0.0002559342042028185,0.001010436945133424,1.4464570431976802,52.58801141769715,147.69285714285692
