timestamp,entry_price,trade_opened,trade_result,exit_timestamp,exit_price,exit_reason,holding_candles,notional,gross_return,fees,gross_pnl,net_pnl,quality_score,body_to_range,close_location_value,range_expansion_ratio,atr_expansion_ratio,ema20_slope_pct,ema_alignment_strength,breakout_distance_pct,volume_ratio,rsi14,atr14
2025-01-03 09:30:00+00:00,96590.1,True,winner,2025-01-03 15:30:00+00:00,97386.1,max_holding,24,100.0,0.008241010207050205,0.08032964040828201,0.8241010207050204,0.7437713802967384,5,0.5665183987060752,0.7399919126567271,1.2455300931754731,1.0738456567806658,9.624068943473272e-05,0.006296755278013246,0.0006574172715423216,1.1378168319604889,42.37486203986249,201.79285714285547
2025-01-03 11:15:00+00:00,96703.5,False,not_opened,,,,,,,,,,7,0.7331859804231109,0.7331859804231109,1.7326841011051488,1.0043179999886604,0.00021738226183906794,0.005888872988061528,0.0009679070561045446,1.2138461521448973,63.33312589457943,189.64285714285714
2025-01-03 14:00:00+00:00,96735.9,False,not_opened,,,,,,,,,,6,0.6814536340851984,0.6814536340851984,2.0417039785083793,1.0669706184239423,0.00016001292895985377,0.0059992643627275076,0.0005985368410279347,1.5435334373302074,61.032828661370274,198.25000000000105
2025-01-03 14:15:00+00:00,97037.5,False,not_opened,,,,,,,,,,7,0.6545138888888974,0.8567708333333343,2.231368940971397,1.1983127841543846,0.0004403309467729156,0.006315435770796993,0.0017982738631972177,2.550620625799237,68.17068691073891,224.12857142857268
2025-01-03 14:30:00+00:00,97204.9,False,not_opened,,,,,,,,,,6,0.2208151958844386,0.8468539770478763,3.2669683257918702,1.4335929009870632,0.000561721472448671,0.006744861952014558,0.001043157289395845,4.448742783925092,70.68177973270221,273.2571428571443
2025-01-03 16:15:00+00:00,98023.9,True,winner,2025-01-03 22:15:00+00:00,98422.0,max_holding,24,100.0,0.004061254449170109,0.0801624501779668,0.4061254449170109,0.3259629947390441,5,0.5055987202925063,0.5439899451553849,2.395314467130101,1.7871257624238592,0.0010191034332444793,0.009708614262024812,0.003431816118313944,3.6367113849209742,80.23440518610795,453.0
2025-01-03 18:00:00+00:00,98272.9,False,not_opened,,,,,,,,,,5,0.865134563048061,0.961294224372534,0.8007554753804564,1.2162510344074955,0.0007497473506475974,0.013427857161872392,0.00013330226339093758,0.46254439047140955,71.83691829557542,429.89999999999833
2025-01-03 18:15:00+00:00,98432.8,False,not_opened,,,,,,,,,,6,0.6981214504150589,0.9598077763215495,0.5560481471134684,1.115053238291631,0.0008319512359091225,0.014017681648235445,0.0014944205590007175,0.5196909680573478,80.84190990383007,406.8857142857118
2025-01-04 02:30:00+00:00,98106.5,True,loser,2025-01-04 08:30:00+00:00,98095.4,max_holding,24,100.0,-0.00011314235040497645,0.0799954743059838,-0.011314235040497644,-0.09130970934648144,7,0.7614473262888626,0.8770413064361332,1.8755067111070605,0.943158029307879,6.119009506593802e-05,0.012528991997704679,0.0005463450433967761,1.2394375816709817,44.27446365529094,168.6285714285685
2025-01-04 02:45:00+00:00,98267.4,False,not_opened,,,,,,,,,,6,0.9686935580974626,0.9686935580974626,0.9967594815170898,0.9512689505667447,0.00021121172829520295,0.012573159783380635,0.0012465985667678193,1.2932705310390282,59.69326843603614,166.43571428571158
